account_id,customer_id,account_type,account_status,currency,open_date,close_date,branch_code,branch_city,current_balance,avg_monthly_balance_6m,credit_limit,credit_utilization_pct,overdraft_enabled,card_type,is_joint_account,num_linked_devices,mobile_banking_enrolled,last_login_date,avg_monthly_txn_count,account_tier
ACC_000019,CUST_00013,SAVINGS,ACTIVE,INR,2020-08-10,,BR123,Gurugram,53685.88,40570.15,0.0,0.0,N,GOLD,0,3,Y,2026-08-17,4,BASIC
ACC_000020,CUST_00014,CREDIT_CARD,ACTIVE,INR,2020-06-23,,BR117,Kochi,13019.76,12173.94,350000.0,71.1,N,GOLD,0,1,Y,2026-07-01,15,BASIC
ACC_000021,CUST_00014,CURRENT,ACTIVE,INR,2019-03-29,,BR124,Kochi,12932.84,12007.2,0.0,0.0,N,CLASSIC,0,5,Y,2026-06-28,7,BASIC
ACC_000022,CUST_00015,SALARY,ACTIVE,INR,2021-06-11,,BR107,Delhi,53895.77,63424.53,0.0,0.0,N,GOLD,0,1,Y,2026-08-16,29,SILVER
ACC_000023,CUST_00016,CREDIT_CARD,ACTIVE,INR,2019-07-20,,BR114,Chennai,34324.63,25653.41,50000.0,54.1,N,PLATINUM,0,1,Y,2026-08-21,30,GOLD
ACC_000024,CUST_00016,CREDIT_CARD,,INR,2021-01-05,,BR116,,109041.21,119985.94,500000.0,79.0,N,CLASSIC,0,3,Y,2026-07-08,34,SILVER
ACC_000025,CUST_00017,CURRENT,ACTIVE,INR,2024-03-06,,,Chennai,33573.63,22562.97,0.0,0.0,N,NONE,0,3,Y,2026-09-13,18,BASIC
ACC_000026,CUST_00017,SAVINGS,FROZEN,INR,2019-07-12,,BR135,Chennai,21434.74,30360.03,0.0,0.0,N,NONE,0,1,Y,2026-08-17,7,BASIC
ACC_000027,CUST_00018,SAVINGS,,INR,2021-03-04,,BR109,Coimbatore,143337.28,149239.59,0.0,0.0,N,NONE,0,3,Y,2026-07-03,6,SILVER
ACC_000028,CUST_00019,SALARY,ACTIVE,INR,2021-03-26,,,Mumbai,25664.47,30125.72,0.0,0.0,Y,PLATINUM,0,4,Y,2026-07-07,12,BASIC
ACC_000029,CUST_00020,CURRENT,ACTIVE,INR,2020-04-24,,BR119,Noida,139794.81,126459.9,0.0,0.0,N,PLATINUM,0,5,Y,2026-07-28,19,SILVER
ACC_000030,CUST_00020,CREDIT_CARD,ACTIVE,INR,2019-03-28,,BR130,Noida,37556.12,51273.37,500000.0,6.7,N,,0,2,N,2026-06-23,17,BASIC
ACC_000031,CUST_00020,SAVINGS,ACTIVE,INR,2019-09-27,,BR108,Noida,33251.29,31877.92,0.0,0.0,N,PLATINUM,1,3,N,2026-06-24,30,SILVER
ACC_000032,CUST_00021,SAVINGS,ACTIVE,INR,2024-01-23,,BR123,Delhi,238267.01,148283.29,0.0,0.0,N,NONE,1,3,Y,2026-07-19,8,GOLD
ACC_000033,CUST_00022,CURRENT,ACTIVE,INR,2023-09-29,,BR137,,26562.75,22584.18,0.0,0.0,N,CLASSIC,0,5,Y,2026-09-05,19,BASIC
ACC_000034,CUST_00023,CREDIT_CARD,ACTIVE,INR,2022-07-14,,BR127,Chennai,74118.05,92545.75,500000.0,54.6,Y,CLASSIC,0,4,Y,2026-06-11,39,SILVER
ACC_000035,CUST_00024,SALARY,ACTIVE,INR,2021-08-16,,BR133,Delhi,10802.82,11859.27,0.0,0.0,N,NONE,0,4,Y,2026-06-29,38,BASIC
ACC_000036,CUST_00024,SAVINGS,DORMANT,INR,2021-10-01,,,Delhi,7044.01,4485.99,0.0,0.0,N,CLASSIC,0,4,Y,2026-07-04,6,BASIC
ACC_000037,CUST_00025,CURRENT,ACTIVE,INR,2017-02-04,,BR103,Hyderabad,99443.98,130700.6,0.0,0.0,N,PLATINUM,0,1,Y,2026-06-27,16,BASIC
ACC_000038,CUST_00026,SALARY,,INR,2022-03-15,,BR105,,23185.21,33206.59,0.0,0.0,N,GOLD,0,2,Y,2026-06-06,6,BASIC
ACC_000039,CUST_00026,SAVINGS,DORMANT,INR,2020-03-09,,,Gurugram,66732.98,46603.25,0.0,0.0,N,CLASSIC,0,6,N,2026-06-06,24,GOLD
ACC_000040,CUST_00026,SAVINGS,ACTIVE,INR,2021-03-18,,BR130,Gurugram,23662.44,27441.53,0.0,0.0,N,NONE,0,2,Y,2026-06-10,24,PLATINUM
ACC_000041,CUST_00027,SAVINGS,FROZEN,INR,2020-11-03,,BR119,,28670.99,17966.58,0.0,0.0,N,,0,4,Y,2026-08-04,2,BASIC
ACC_000042,CUST_00028,SALARY,DORMANT,INR,2024-07-02,,BR117,Chandigarh,295856.06,404734.11,0.0,0.0,N,GOLD,0,2,Y,2026-05-24,19,BASIC
ACC_000043,CUST_00029,SAVINGS,ACTIVE,INR,2026-02-27,,BR137,Jaipur,21772.83,30436.28,0.0,0.0,N,NONE,0,1,Y,2026-07-07,27,BASIC
ACC_000044,CUST_00030,CREDIT_CARD,ACTIVE,INR,2022-09-27,,BR108,Jaipur,13445.98,16752.01,350000.0,45.1,,PLATINUM,0,4,Y,2026-07-02,20,GOLD
ACC_000045,CUST_00031,SAVINGS,FROZEN,INR,2022-10-14,,BR124,,37397.42,56014.69,0.0,0.0,N,GOLD,0,3,Y,2026-06-06,18,BASIC
ACC_000046,CUST_00032,SAVINGS,ACTIVE,INR,2024-12-30,,BR101,Pune,73710.96,53140.46,0.0,0.0,N,NONE,0,2,Y,2026-06-10,27,SILVER
ACC_000047,CUST_00033,SAVINGS,ACTIVE,INR,2024-10-19,,BR107,Chandigarh,161259.33,162541.66,0.0,0.0,N,CLASSIC,0,3,Y,2026-09-16,6,BASIC
ACC_000048,CUST_00033,SALARY,ACTIVE,INR,2020-03-01,,BR119,Chandigarh,119074.23,129406.41,0.0,0.0,N,PLATINUM,0,3,Y,2026-08-13,7,SILVER
ACC_000049,CUST_00034,SALARY,DORMANT,INR,2021-11-26,,,Indore,122439.02,131816.36,0.0,0.0,N,PLATINUM,0,4,Y,2026-07-30,10,BASIC
ACC_000050,CUST_00034,CREDIT_CARD,ACTIVE,INR,2020-01-19,,BR102,Indore,168339.04,124553.62,500000.0,23.0,N,SIGNATURE,0,3,Y,2026-09-06,25,BASIC
ACC_000051,CUST_00035,SAVINGS,ACTIVE,INR,2018-01-20,,BR106,Ahmedabad,60800.17,60468.67,0.0,0.0,N,NONE,0,6,Y,2026-09-02,17,SILVER
ACC_000052,CUST_00036,SAVINGS,DORMANT,INR,2016-12-10,,BR118,Coimbatore,225867.46,156233.59,0.0,0.0,Y,GOLD,0,4,Y,2026-06-15,30,SILVER
ACC_000053,CUST_00037,SALARY,ACTIVE,INR,2022-09-27,,BR120,Indore,7173.37,4969.01,0.0,0.0,N,,0,1,Y,2026-08-05,2,BASIC
ACC_000054,CUST_00038,CURRENT,ACTIVE,INR,2023-04-10,,BR115,Chennai,8055.53,8132.91,0.0,0.0,N,CLASSIC,0,2,Y,2026-06-19,19,SILVER
ACC_000055,CUST_00038,SAVINGS,ACTIVE,INR,2021-11-24,,BR140,Chennai,7582.94,7173.87,0.0,0.0,N,PLATINUM,0,1,Y,2026-06-01,13,BASIC
ACC_000056,CUST_00039,SAVINGS,,INR,2018-10-11,,BR104,Gurugram,12102.81,10552.01,0.0,0.0,Y,PLATINUM,0,2,Y,2026-09-17,21,BASIC
ACC_000057,CUST_00040,SAVINGS,ACTIVE,INR,2017-09-01,,BR103,Kolkata,77009.47,106002.63,0.0,0.0,N,,0,1,Y,2026-07-20,20,BASIC
ACC_000058,CUST_00041,SAVINGS,ACTIVE,INR,2018-01-07,,BR116,Mumbai,8834.28,7948.95,0.0,0.0,Y,SIGNATURE,0,4,N,2026-07-20,32,BASIC
ACC_000059,CUST_00042,SAVINGS,ACTIVE,INR,2018-04-13,,BR120,Kochi,5089.88,5252.13,0.0,0.0,N,NONE,1,2,Y,2026-08-08,24,BASIC
ACC_000060,CUST_00042,,ACTIVE,INR,2023-11-28,,BR131,Kochi,79083.49,50907.02,0.0,0.0,Y,CLASSIC,0,3,Y,2026-08-06,26,PLATINUM
ACC_000061,CUST_00042,SALARY,ACTIVE,INR,2019-05-28,,BR132,Kochi,33482.22,47777.16,0.0,0.0,N,CLASSIC,0,1,Y,2026-08-25,28,BASIC
ACC_000062,CUST_00043,SAVINGS,ACTIVE,INR,2018-09-16,,BR113,Kolkata,185625.62,129857.47,0.0,0.0,N,GOLD,0,2,Y,2026-05-31,32,
ACC_000063,CUST_00043,SAVINGS,ACTIVE,INR,2023-09-06,,BR133,Kolkata,35832.8,48893.56,0.0,0.0,,GOLD,0,1,Y,2026-06-18,30,BASIC
ACC_000064,CUST_00044,SAVINGS,ACTIVE,INR,2018-01-17,,BR121,Indore,408531.98,304956.51,0.0,0.0,N,GOLD,0,3,N,2026-08-24,19,BASIC
ACC_000065,CUST_00044,SAVINGS,ACTIVE,INR,2022-04-11,,,Indore,32497.85,37147.71,0.0,0.0,N,,0,4,Y,2026-05-23,27,
ACC_000066,CUST_00045,SAVINGS,ACTIVE,INR,2016-08-24,,BR140,Jaipur,54575.19,43372.0,0.0,0.0,Y,GOLD,0,2,N,2026-09-06,27,BASIC
ACC_000067,CUST_00045,SAVINGS,ACTIVE,INR,2019-04-08,,BR136,Jaipur,49799.29,45408.52,0.0,0.0,Y,CLASSIC,0,1,Y,2026-05-28,16,BASIC
ACC_000068,CUST_00046,CURRENT,ACTIVE,INR,2020-08-24,,BR121,Jaipur,17013.46,21050.45,0.0,0.0,N,NONE,0,4,Y,2026-08-08,22,SILVER
ACC_000069,CUST_00047,SALARY,DORMANT,INR,2023-10-14,,BR101,Hyderabad,25855.17,31641.19,0.0,0.0,N,GOLD,0,1,Y,2026-08-11,22,PLATINUM
ACC_000070,CUST_00048,SALARY,DORMANT,INR,2017-05-30,,BR137,Chennai,37297.1,22512.79,0.0,0.0,Y,CLASSIC,0,1,Y,2026-08-20,38,BASIC
ACC_000071,CUST_00049,CURRENT,ACTIVE,INR,2025-10-07,,BR137,Chennai,32100.73,22926.95,0.0,0.0,Y,,0,5,Y,2026-06-11,15,BASIC
ACC_000072,CUST_00050,SALARY,ACTIVE,INR,2016-11-25,,BR139,Kolkata,46818.98,40511.52,0.0,0.0,N,,0,3,Y,2026-07-08,30,BASIC
ACC_000073,CUST_00051,SAVINGS,ACTIVE,INR,2022-03-24,,BR106,Indore,228173.18,316362.03,0.0,0.0,N,NONE,1,2,Y,2026-09-12,12,SILVER
ACC_000074,CUST_00052,SAVINGS,ACTIVE,INR,2018-02-01,,BR137,Jaipur,28611.18,34615.48,0.0,0.0,N,CLASSIC,1,5,Y,2026-08-08,23,SILVER
ACC_000075,CUST_00053,SAVINGS,,INR,2024-06-30,,BR120,Mysuru,23748.94,31263.71,0.0,0.0,N,GOLD,0,3,Y,2026-05-23,24,GOLD
ACC_000076,CUST_00054,SALARY,ACTIVE,INR,2025-05-16,,BR110,Chennai,10033.24,12183.6,0.0,0.0,,SIGNATURE,1,1,Y,2026-09-16,11,BASIC
ACC_000077,CUST_00055,CURRENT,ACTIVE,INR,2020-06-24,,BR102,,36014.13,28076.18,0.0,0.0,N,GOLD,1,3,Y,2026-06-21,2,
ACC_000078,CUST_00056,SAVINGS,ACTIVE,INR,2023-08-04,,,Gurugram,11542.72,16050.48,0.0,0.0,N,PLATINUM,0,2,N,2026-09-06,32,GOLD
ACC_000079,CUST_00056,CURRENT,ACTIVE,INR,2024-05-27,,,Gurugram,5563.15,7258.04,0.0,0.0,N,GOLD,0,2,Y,2026-06-23,18,BASIC
ACC_000080,CUST_00057,NRE,ACTIVE,INR,2017-07-12,,BR102,Gurugram,12751.56,16810.22,0.0,0.0,N,CLASSIC,0,1,Y,2026-06-17,34,BASIC
ACC_000081,CUST_00058,SALARY,ACTIVE,INR,2023-12-09,,BR139,Mumbai,140698.12,87349.06,0.0,0.0,N,PLATINUM,0,5,Y,2026-05-31,25,BASIC
ACC_000082,CUST_00059,CREDIT_CARD,ACTIVE,INR,2016-06-09,,BR105,Kolkata,267919.77,300844.55,100000.0,93.0,Y,PLATINUM,0,4,Y,2026-05-29,30,PLATINUM
ACC_000083,CUST_00059,SAVINGS,ACTIVE,INR,2017-06-02,,BR113,Kolkata,15763.49,15049.34,0.0,0.0,N,NONE,0,1,Y,2026-08-20,25,SILVER
ACC_000084,CUST_00060,SAVINGS,ACTIVE,INR,2025-02-16,,BR124,Pune,19096.16,17292.14,0.0,0.0,N,GOLD,0,3,Y,2026-09-17,21,GOLD
ACC_000085,CUST_00061,SALARY,ACTIVE,INR,2024-05-04,,BR140,Kolkata,91764.26,78027.33,0.0,0.0,N,CLASSIC,0,2,Y,2026-06-16,18,GOLD
ACC_000086,CUST_00062,CREDIT_CARD,,INR,2020-08-14,,BR107,Pune,29536.78,24618.78,500000.0,81.0,Y,GOLD,0,1,Y,2026-07-09,12,BASIC
ACC_000087,CUST_00063,SAVINGS,ACTIVE,INR,2016-09-18,,BR128,Noida,71445.24,84824.59,0.0,0.0,N,CLASSIC,0,2,Y,2026-09-07,21,SILVER
ACC_000088,CUST_00063,SALARY,DORMANT,INR,2018-10-29,,BR102,Noida,30514.63,39312.71,0.0,0.0,N,GOLD,0,6,Y,2026-06-22,24,SILVER
ACC_000089,CUST_00063,SAVINGS,ACTIVE,INR,2025-08-11,,BR134,Noida,114151.84,125294.02,0.0,0.0,N,CLASSIC,0,1,Y,2026-09-13,6,GOLD
ACC_000090,CUST_00064,SALARY,ACTIVE,INR,2016-11-21,,BR120,Chandigarh,11807.63,12848.21,0.0,0.0,N,CLASSIC,1,1,Y,2026-08-24,22,BASIC
ACC_000091,CUST_00065,CURRENT,ACTIVE,INR,2017-07-30,,BR138,Mumbai,36156.17,49416.08,0.0,0.0,N,CLASSIC,1,3,N,2026-08-14,8,SILVER
ACC_000092,CUST_00066,SAVINGS,,INR,2019-04-23,,BR137,,92491.62,118760.49,0.0,0.0,N,,0,2,Y,2026-06-24,16,BASIC
ACC_000093,CUST_00066,SALARY,ACTIVE,INR,2020-04-30,,BR103,Ahmedabad,415991.1,585095.59,0.0,0.0,N,CLASSIC,1,1,Y,2026-07-10,22,BASIC
ACC_000094,CUST_00067,CREDIT_CARD,ACTIVE,INR,2021-12-29,,BR137,Pune,5269.19,4012.71,500000.0,61.6,N,CLASSIC,0,2,N,2026-08-13,16,BASIC
ACC_000095,CUST_00068,CURRENT,ACTIVE,INR,2025-03-06,,BR132,,37965.9,51869.06,0.0,0.0,Y,PLATINUM,0,3,Y,2026-09-15,34,SILVER
ACC_000096,CUST_00069,SAVINGS,ACTIVE,INR,2021-12-25,,,Kolkata,32244.78,24026.51,0.0,0.0,N,GOLD,0,5,Y,2026-08-08,20,GOLD
ACC_000097,CUST_00069,,ACTIVE,INR,2020-04-02,,BR122,Kolkata,254293.15,252031.67,0.0,0.0,N,PLATINUM,1,1,Y,2026-08-30,22,SILVER
ACC_000098,CUST_00070,,ACTIVE,INR,2021-12-28,,BR137,Chennai,64530.4,66713.32,0.0,0.0,N,NONE,0,2,Y,2026-05-28,27,
ACC_000099,CUST_00071,CREDIT_CARD,ACTIVE,INR,2022-06-05,,BR112,Mysuru,20684.04,17123.61,1000000.0,84.7,N,GOLD,1,1,Y,2026-07-17,29,GOLD
ACC_000100,CUST_00072,SAVINGS,ACTIVE,INR,2024-09-02,,BR106,Chennai,51412.65,45725.36,0.0,0.0,Y,CLASSIC,0,3,N,2026-06-17,18,GOLD
ACC_000101,CUST_00072,SAVINGS,ACTIVE,INR,2025-07-13,,BR109,Chennai,57494.69,85652.34,0.0,0.0,Y,NONE,1,4,Y,2026-09-13,26,SILVER
ACC_000102,CUST_00073,CURRENT,,INR,2020-10-17,,BR120,Chennai,17563.75,11330.31,0.0,0.0,N,NONE,0,3,Y,2026-06-25,21,BASIC
ACC_000103,CUST_00074,SAVINGS,ACTIVE,INR,2020-11-13,,BR118,Ahmedabad,72186.68,57082.28,0.0,0.0,N,CLASSIC,1,4,Y,2026-08-06,9,
ACC_000104,CUST_00075,CREDIT_CARD,ACTIVE,INR,2022-05-01,,BR138,Bengaluru,19108.94,12532.73,50000.0,67.6,N,CLASSIC,0,2,Y,2026-06-07,19,SILVER
ACC_000105,CUST_00076,CURRENT,ACTIVE,INR,2017-07-08,,BR120,Jaipur,26137.77,24925.88,0.0,0.0,N,NONE,0,4,N,2026-07-02,18,BASIC
ACC_000106,CUST_00076,SAVINGS,DORMANT,INR,2022-12-05,,,Jaipur,8034.84,8239.77,0.0,0.0,Y,NONE,0,3,Y,2026-07-07,28,BASIC
ACC_000107,CUST_00077,SALARY,ACTIVE,INR,2019-05-08,,BR138,,34405.26,21889.6,0.0,0.0,N,CLASSIC,0,5,Y,2026-06-06,17,SILVER
ACC_000108,CUST_00077,NRE,ACTIVE,INR,2022-10-18,,BR105,Indore,53772.47,78119.68,0.0,0.0,N,GOLD,0,3,Y,2026-09-06,25,GOLD
ACC_000109,CUST_00078,SAVINGS,ACTIVE,INR,2017-07-03,,BR104,Chandigarh,60585.07,64101.47,0.0,0.0,N,PLATINUM,0,4,Y,2026-08-31,18,SILVER
ACC_000110,CUST_00078,SAVINGS,ACTIVE,INR,2021-08-14,,BR137,Chandigarh,53754.49,38339.12,0.0,0.0,N,CLASSIC,0,1,N,2026-09-07,28,SILVER
ACC_000111,CUST_00078,CURRENT,ACTIVE,INR,2017-01-27,,,Chandigarh,21683.48,25946.86,0.0,0.0,N,CLASSIC,0,1,Y,2026-07-25,10,SILVER
ACC_000112,CUST_00079,SAVINGS,ACTIVE,INR,2020-07-09,,BR136,Hyderabad,126717.69,164775.61,0.0,0.0,N,CLASSIC,0,3,Y,2026-09-01,22,BASIC
ACC_000113,CUST_00080,CREDIT_CARD,ACTIVE,INR,2025-02-09,,BR139,Bengaluru,19558.76,14175.97,50000.0,61.1,N,CLASSIC,0,2,Y,2026-07-26,24,SILVER
ACC_000114,CUST_00081,SAVINGS,,INR,2022-01-10,,BR103,Chennai,114285.72,124328.13,0.0,0.0,N,NONE,0,4,Y,2026-06-17,21,SILVER
ACC_000115,CUST_00081,SALARY,ACTIVE,INR,2020-11-01,,BR131,Chennai,202519.27,299427.89,0.0,0.0,N,CLASSIC,0,3,Y,2026-07-02,17,BASIC
ACC_000116,CUST_00082,CURRENT,ACTIVE,INR,2021-05-16,,BR119,Mumbai,82470.65,94775.66,0.0,0.0,Y,PLATINUM,0,4,Y,2026-09-11,30,SILVER
ACC_000117,CUST_00082,CURRENT,ACTIVE,INR,2023-05-12,,BR106,Mumbai,154842.05,181007.61,0.0,0.0,Y,NONE,0,2,Y,2026-08-17,17,BASIC
ACC_000118,CUST_00083,CURRENT,ACTIVE,INR,2021-08-16,,BR116,Bengaluru,83283.46,113181.44,0.0,0.0,N,GOLD,1,6,Y,2026-05-22,35,GOLD
ACC_000119,CUST_00084,SAVINGS,ACTIVE,INR,2019-03-23,,,Chandigarh,29142.45,25073.82,0.0,0.0,N,,0,2,Y,2026-07-20,20,SILVER
ACC_000120,CUST_00084,CURRENT,ACTIVE,INR,2018-09-20,,,Chandigarh,94253.02,125775.98,0.0,0.0,N,GOLD,0,2,Y,2026-09-13,21,BASIC
ACC_000121,CUST_00085,CREDIT_CARD,ACTIVE,INR,2019-04-28,,BR138,Pune,15005.7,19773.91,200000.0,75.8,N,CLASSIC,0,2,Y,2026-06-22,20,PLATINUM
ACC_000122,CUST_00086,SAVINGS,ACTIVE,INR,2022-01-08,,BR115,Kochi,11307.8,10754.35,0.0,0.0,,CLASSIC,1,2,Y,2026-05-27,24,GOLD
ACC_000123,CUST_00087,SALARY,ACTIVE,INR,2017-01-11,,BR137,Ahmedabad,24120.96,27924.88,0.0,0.0,N,PLATINUM,0,3,Y,2026-09-09,20,SILVER
ACC_000124,CUST_00087,SAVINGS,ACTIVE,INR,2016-07-02,,BR105,Ahmedabad,10862.37,9163.16,0.0,0.0,Y,PLATINUM,0,3,Y,2026-08-27,8,BASIC
ACC_000125,CUST_00088,SALARY,ACTIVE,INR,2021-02-11,,BR140,Ahmedabad,91972.65,90238.58,0.0,0.0,N,CLASSIC,1,3,Y,2026-08-17,23,
ACC_000126,CUST_00088,CURRENT,ACTIVE,INR,2026-08-16,,BR122,Ahmedabad,28307.35,42446.29,0.0,0.0,N,NONE,0,2,Y,2026-06-02,26,SILVER
ACC_000127,CUST_00088,SAVINGS,ACTIVE,INR,2022-04-28,,BR137,Ahmedabad,122715.42,108786.45,0.0,0.0,N,NONE,1,2,N,2026-06-28,27,BASIC
ACC_000128,CUST_00089,SAVINGS,ACTIVE,INR,2018-01-14,,BR125,Jaipur,85739.39,78709.1,0.0,0.0,N,CLASSIC,0,5,Y,2026-05-28,35,SILVER
ACC_000129,CUST_00089,SAVINGS,ACTIVE,INR,2018-07-24,,BR135,Jaipur,42060.58,43832.66,0.0,0.0,N,NONE,0,2,Y,2026-08-06,22,BASIC
ACC_000130,CUST_00089,SAVINGS,ACTIVE,INR,2017-08-01,,BR135,Jaipur,148997.61,109986.01,0.0,0.0,N,,0,2,Y,2026-07-20,26,GOLD
ACC_000131,CUST_00090,SALARY,ACTIVE,INR,2019-07-16,,BR130,Hyderabad,76225.37,75667.78,0.0,0.0,N,CLASSIC,1,2,Y,2026-07-02,19,BASIC
ACC_000132,CUST_00091,SALARY,CLOSED,INR,2019-01-10,2024-01-30,BR109,Kochi,35493.19,26662.51,0.0,0.0,N,,0,1,Y,2026-08-14,3,BASIC
ACC_000133,CUST_00092,CURRENT,ACTIVE,INR,2020-02-09,,BR140,Chennai,10335.86,11214.9,0.0,0.0,Y,,1,2,N,2026-06-20,20,SILVER
ACC_000134,CUST_00092,SAVINGS,ACTIVE,INR,2017-12-20,,BR118,,73700.23,61296.98,0.0,0.0,N,GOLD,1,4,Y,2026-07-17,2,SILVER
ACC_000135,CUST_00093,SAVINGS,ACTIVE,INR,2020-05-18,,BR107,Mysuru,4687.98,3691.98,0.0,0.0,N,CLASSIC,0,2,Y,2026-08-23,26,BASIC
ACC_000136,CUST_00093,SALARY,ACTIVE,INR,2016-05-30,,,Mysuru,20097.0,15229.75,0.0,0.0,N,GOLD,0,4,N,2026-07-22,16,BASIC
ACC_000137,CUST_00094,SAVINGS,ACTIVE,INR,2021-03-12,,BR129,Indore,189280.79,180503.15,0.0,0.0,N,GOLD,0,4,Y,2026-08-08,11,BASIC
ACC_000138,CUST_00094,SAVINGS,ACTIVE,INR,2016-08-20,,BR128,Indore,72839.75,62654.95,0.0,0.0,N,CLASSIC,0,4,Y,2026-06-30,38,BASIC
ACC_000139,CUST_00094,SAVINGS,ACTIVE,INR,2020-04-03,,BR130,Indore,69729.39,44941.52,0.0,0.0,N,CLASSIC,0,3,Y,2026-07-02,13,GOLD
ACC_000140,CUST_00095,SAVINGS,ACTIVE,INR,2020-10-12,,BR130,Hyderabad,57427.02,77179.06,0.0,0.0,N,GOLD,0,3,Y,2026-05-27,25,GOLD
ACC_000141,CUST_00096,CREDIT_CARD,ACTIVE,INR,2026-02-19,,BR128,Indore,13073.83,14481.69,50000.0,47.0,N,SIGNATURE,0,2,Y,2026-09-17,21,SILVER
ACC_000142,CUST_00096,SAVINGS,ACTIVE,INR,2023-12-14,,BR120,Indore,12432.37,17468.23,0.0,0.0,N,PLATINUM,0,2,Y,2026-09-01,20,GOLD
ACC_000143,CUST_00097,SAVINGS,ACTIVE,INR,2019-07-13,,BR122,Noida,323995.77,333224.01,0.0,0.0,N,CLASSIC,0,2,Y,2026-08-23,39,GOLD
ACC_000144,CUST_00097,CREDIT_CARD,ACTIVE,INR,2026-01-07,,BR108,Noida,476546.64,369770.58,500000.0,45.6,Y,SIGNATURE,0,2,Y,2026-06-11,12,BASIC
ACC_000145,CUST_00098,SAVINGS,ACTIVE,INR,2018-03-13,,BR115,,13759.43,13490.58,0.0,0.0,N,PLATINUM,1,1,Y,2026-07-23,21,SILVER
ACC_000146,CUST_00099,SALARY,ACTIVE,INR,2020-08-28,,BR105,Chandigarh,68865.36,61177.06,0.0,0.0,N,NONE,0,2,N,2026-09-09,42,BASIC
